名稱,評級,地址,營業時間
品咖哩 湯咖哩/餐廳/永和美食/中和美食/中永和美食/四號公園美食/永安市場美食,4.3,中和區中和路262巷24弄12號1樓,{'open_now': False}
得閒飲茶港式茶餐廳,4.7,永和區保生路22巷9號,{'open_now': True}
尚品創意鐵板料理,4.4,永和區福和路368號,{'open_now': False}
18精緻小館,4.7,文山區興隆路四段102號1樓,{'open_now': True}
七品聚圓夢餐廳,4.4,文山區木柵路二段18號號1樓,{'open_now': True}
LI RA義大利廚房,4.1,文山區木新路三段67號,{'open_now': True}
Cow過來（原悅喀西餐）,4.8,文山區木柵路一段222號,{'open_now': True}
See Food 無國界料理,4.6,文山區興隆路四段187號號1樓,{'open_now': True}
兩公婆石頭烤香飯、丼飯、簡餐&飲料,4.3,文山區一壽街12號,{'open_now': True}
let's italy 出發義大利廚房,4.3,文山區木柵路一段137號2樓,{'open_now': True}
燕樓小館,4.1,文山區木新路二段116號,{'open_now': True}
咖哩空間-木柵興隆店,4.7,文山區興隆路四段72號,{'open_now': True}
思月小館義大利麵,4.8,文山區忠順街一段111號,{'open_now': True}
德意事歐式美食屋,4.4,文山區木新路三段97號,{'open_now': False}
台北御神四季食藝私房創意料理,4.4,文山區木柵路三段48巷1弄9號,{'open_now': False}
紅騷羊肉麵,4.3,文山區樟新街12號,{'open_now': False}
紅牛屋,4.4,文山區木柵路三段48巷1弄3號,{'open_now': False}
公園對麵牛肉麵,4.1,"No. 15,, 忠順街一段26巷文山區",{'open_now': True}
海天小館,4.1,文山區永安街22巷33號1樓,{'open_now': True}
隨意小吃-阿賢師,4.5,深坑區北深路三段105號之1號,{'open_now': True}
燴燴人生,4.3,深坑區北深路三段28號,{'open_now': True}
三隻猴子美食廚房,4.7,深坑區北深路二段125之1號,{'open_now': True}
深坑大福園休閒農莊,4.5,深坑區北宜高聯絡道,{'open_now': False}
零零發飯店(台灣分店),4.9,深坑區北深路三段189巷2號,{'open_now': True}
深坑店小二傳說中的陳老闆,4.7,深坑區北深路三段123號,{'open_now': True}
深坑好家園,4.2,深坑區深坑街141號,{'open_now': True}
新鱻屋 日式食堂,4.1,深坑區北深路三段234號,{'open_now': True}
大丈夫小料理,4.5,深坑區北深路三段222號,{'open_now': True}
陳家豆腐,4.1,深坑區北深路二段155之3號,{'open_now': True}
劉の臭豆腐-宅配團購外帶小吃 特色美食料理餐廳(在地推薦人氣必吃),4.8,深坑區深坑街46號,{'open_now': True}
豆腐娘豆腐店,4.2,深坑區里深坑街112號,{'open_now': True}
角落飽嗝 The Corner Burger,4.3,深坑區北深路二段55巷12弄8號1F,{'open_now': True}
深坑串霸,4.1,深坑區北深路三段23號,{'open_now': False}
全牛料理,4.3,石碇區靜安路一段108號,{'open_now': True}
高家麵食館,4.7,深坑區北深路一段112巷2號,{'open_now': False}
深坑山中傳奇會館,4.1,深坑區風格街51號,{'open_now': True}
馨園便當店,5,深坑區北深路一段130號,{'open_now': False}
長青穀典餐廳,4.7,三峽區民族街2-1號,{'open_now': True}
安安你好 Ann Hello,4.8,三峽區愛國路2-12號1樓,{'open_now': True}
韓舍小館（三峽）中式料理,4.4,三峽區大同路1-2號,{'open_now': False}
喜徠珍古井餐廳,4.1,三峽區中山路40號,{'open_now': True}
Luna餐廳,4.5,三峽區民生街121號2F,{'open_now': True}
農家樂四川特色小吃,4.4,三峽區復興路155號,{'open_now': True}
橋頭食堂,4.3,三峽區愛國路4號,{'open_now': True}
漁先生,4.8,三峽區愛國路2-1號號,{'open_now': True}
甘樂食堂,4.3,三峽區清水街317號,{'open_now': True}
三峽小天地熱炒,4.2,"No. 71號, 愛國路三峽區",{'open_now': True}
釣魚人鱻之屋,4.3,三峽區光明路51號,{'open_now': True}
松月餐館,4.4,三峽區中華路11巷5號1樓,{'open_now': True}
炒不停熱炒,4.4,三峽區No179號 Fuxing Road,{'open_now': True}
鄉村海鮮店,4.3,三峽區信義街21號,{'open_now': True}
阿爸的客家菜,4.1,三峽區中山路118號,{'open_now': True}
歐兔啡食館（三峽中正）,4.1,三峽區中正路一段242號,{'open_now': True}
村 日式料理,4.3,三峽區民生街108號2樓,{'open_now': True}
紅廚小餐館,4.4,鶯歌區國華路75號,{'open_now': False}
燧人炊事Catching Fire,4.2,鶯歌區重慶街62號2樓,{'open_now': True}
露。食 私房菜 • 炸物 • 麵食 • 飯食 熱炒/鶯歌美食/新北美食/在地推薦餐廳/網美/美食,4.5,鶯歌區南雅路438號,{'open_now': True}
八條壽司鶯歌店,4.2,鶯歌區南雅路435號,{'open_now': True}
李享煮義,4.4,鶯歌區建國路282-2號,{'open_now': True}
饗泰鍋 鶯歌店,4.7,鶯歌區鶯桃路565號,{'open_now': True}
天天九九熱炒,4.2,鶯歌區鶯桃路416號,{'open_now': True}
Teaday喝茶天-茶家食堂-鶯歌,4.4,鶯歌區重慶街62-1號B1,{'open_now': True}
晶業越南小館,4.1,鶯歌區南雅路425號,{'open_now': True}
282熱炒店,4.1,鶯歌區建國路282號,{'open_now': True}
一燒十味昭和園鶯歌總店,4.4,鶯歌區光明街85號,{'open_now': True}
崔神霸氣鍋,4.2,鶯歌區中山路329巷6弄10號,{'open_now': True}
紅梅越食堂,4.2,鶯歌區南雅路426號,{'open_now': True}
炭烤屋,4.2,"No. 296號, 建國路鶯歌區",{'open_now': True}
晨鳴食客,4.4,鶯歌區光明街200號,{'open_now': False}
東街日本料理-鶯歌店,4.1,鶯歌區永明街58號,{'open_now': True}
元爵味 黃燜雞米飯 鶯歌店-鶯歌必吃美食|麻辣餐廳|中式美食|中式餐廳|特色美食|在地推薦餐廳,4.8,鶯歌區建國路280之1號,{'open_now': True}
大埕鐵板燒【鶯歌店】,4.1,鶯歌區鶯桃路503號,{'open_now': True}
土城合眾餐廳,4.3,土城區中央路二段278巷6之3號1樓,{'open_now': True}
Joyfull台灣珍有福 土城日月光店,4.5,土城區學府路二段210號1樓,{'open_now': True}
江浙賦｜江浙家常菜｜土城餐廳｜土城美食｜精緻合菜｜桌菜｜聚餐｜外帶便當,4.5,土城區學府路二段259號,{'open_now': True}
土城青青餐廳,4.2,土城區中央路三段6號,{'open_now': True}
鹿角公園,4.2,土城區員林街7號,{'open_now': True}
双花個人鍋物,4.7,土城區中央路二段77號,{'open_now': True}
洋城義大利餐廳-土城大潤發店,4.3,土城區永安街25號1樓,{'open_now': True}
尖牙義式廚房-新北土城店,4.5,土城區學府路二段210號,{'open_now': True}
北村豆腐家 新北土城日月光店,4.6,土城區學府路二段210號1樓,{'open_now': True}
昭和園日式燒肉屋 土城店/土城美食/土城推薦餐廳/土城燒烤/土城寵物友善餐廳/土城吃到飽/土城必吃,4.6,土城區中央路三段118號,{'open_now': True}
Siam Siam 泰式料理,4.2,土城區學府路二段210號,{'open_now': True}
鑫城自助餐廳,4.2,土城區中央路三段199號,{'open_now': True}
龍涎居好湯 土城日月光店,4.1,土城區學府路二段210號B2,{'open_now': True}
回家吃鍋 友善鍋物（採全預約）,4.6,土城區中正路67巷33號,{'open_now': False}
花時Flower+S Restaurant,4.8,鶯歌區龍三路35號,{'open_now': False}
夯燒海洋村,4.1,鶯歌區鳳鳴路路口號,{'open_now': True}
阿立師美食,4.3,鶯歌區鶯桃路668巷73號,{'open_now': True}
厚呷 brunch house早午餐,4.4,鶯歌區中山路329巷26弄18號,{'open_now': False}
晨心早午餐館,4.3,鶯歌區鶯桃路439號1樓,{'open_now': False}
日日十辰-Riicafe (早午餐 | 咖啡廳 | 下午茶),4.5,鶯歌區鶯歌路158號,{'open_now': False}
ELK駝鹿餐廳,4.5,樹林區大安路502號1F,{'open_now': True}
雞酒屋,4.7,樹林區東榮街1號,{'open_now': True}
下班了沒啤酒屋 美食熱炒 燒烤 餐廳,4.6,樹林區八德街70號之1號,{'open_now': True}
卓仔魚店,4.1,樹林區中山路二段89號,{'open_now': True}
大龍城和味海鮮餐廳,4.1,樹林區八德街69號,{'open_now': True}
品鮮平價熱炒,4.3,樹林區大安路542號,{'open_now': True}
哈比hobbit kitchen,4.5,樹林區太平路96號太元街58號全家對面,{'open_now': True}
紫金閣素菜餐廳,4.4,樹林區大安路534號,{'open_now': True}
大叔的飯/樹林炒飯/樹林炒麵/樹林餐廳/樹林美食/樹林丼飯/樹林takeout,4.8,樹林區啟智街151巷8號(後面,{'open_now': True}
大胖土雞城,4.1,樹林區太平路270-1號,{'open_now': True}
小樹点,4.6,樹林區仁愛街2號,{'open_now': True}
Miss GuGu鍋物咖啡私房料理,4.3,樹林區育英街142號,{'open_now': True}
越梅台越快餐,4.5,樹林區八德街79號,{'open_now': True}
劉家-脆皮黃金桶仔雞＆紅麴奏媽肉,4.1,樹林區太平路237號,{'open_now': True}
大雙鐵板燒,4.4,樹林區中山路一段244號,{'open_now': True}
三國農莊,5,萬里區十鄰二坪路9號,{'open_now': True}
安安土雞城(薑母鴨、香菇雞湯、竹筍雞湯),5,萬里區麗水路30號,{'open_now': True}
金萬里大閘蟹,4.2,萬里區5-1號,{'open_now': True}
泰夯串燒,4.8,板橋區僑中二街108巷23號,{'open_now': False}
雲味香美食館,4.4,板橋區大觀路一段29巷9號,{'open_now': True}
孟居伙房原住民餐廳,4.4,板橋區南雅西路二段205號,{'open_now': False}
蝸牛廚坊義大利麵/新莊美食/新莊小吃/新莊義大利麵/附近美食/新莊推薦餐廳/新莊必吃,4.2,新莊區民本街7號,{'open_now': True}
Wing Flight 飛鏢休閒館,4.3,板橋區大觀路一段28巷84之1號,{'open_now': False}
板凳麵,4.4,板橋區僑中一街125巷1號,{'open_now': True}
發哥蔬食店,4.4,板橋區僑中一街102巷1弄9號,{'open_now': True}
JAG這個·浮洲,4.4,板橋區大觀路一段29巷35號,{'open_now': True}
明峰烤肉飯,4.2,板橋區龍興街32號,{'open_now': True}
松屋食堂,4.1,汐止區建成路59巷57號,{'open_now': True}
金鶴家美食,4.2,汐止區樟樹二路339巷6弄1號,{'open_now': True}
家傳熱炒小館,4.2,汐止區樟樹二路310號,{'open_now': True}
焿著來,4.1,汐止區中正路61-63號,{'open_now': False}
汐止建成店 好運殿日式炸物專賣,4.2,汐止區建成路142巷19弄11號,{'open_now': True}
然慧園,4.4,平溪區靜安路二段81巷36號,無營業時間資訊
名月居平價小吃店,4.8,平溪區菁桐街23號,{'open_now': True}
紅寶礦工食堂,4.1,平溪區菁桐街58號,{'open_now': False}
陳記蚵仔煎,4.1,平溪區菁桐街123號,{'open_now': True}
菁桐崇德素食,4.3,平溪區菁桐街85號,{'open_now': True}
郭家手工蔥餅,4.5,平溪區菁桐街149號,{'open_now': True}
曼杜瓦餐廳 新莊店,4.4,新莊區富國路176巷13號,{'open_now': True}
辛巴原味碳烤牛排複合式寵物餐廳,4.5,新莊區中正路609號,{'open_now': True}
想初享廚 - 新莊餐廳推薦2023/不限時/新北餐廳推薦/新莊美食/包場/人氣餐廳/在地推薦餐廳/輔大餐廳聚餐/約會推薦/家庭餐廳/企業餐盒/客製化便當,4.2,新莊區中正路514巷91號,{'open_now': True}
輔仁大學心園餐廳,4.4,新莊區中正路510號心園餐廳,{'open_now': True}
檸檬草美食茶房 新莊店,4.1,新莊區中正路571號,{'open_now': True}
窩義下義式廚坊,4.4,新莊區中正路638號,{'open_now': True}
心園巧瑋鬆餅屋,4.4,新莊區輔仁大學-心園餐廳,{'open_now': True}
叫爸爸海鮮餐館｜網美必朝聖｜新北新莊美食海鮮｜主題餐廳,4.9,新莊區民全街12號,{'open_now': True}
名廚鐵板燒,4.2,新莊區建國一路3號,{'open_now': True}
小巷食光kitchen,4.5,新莊區後港一路130巷6號,{'open_now': True}
帕霏兔,4.5,新莊區中正路514巷99號,{'open_now': True}
Sipping Bistro 啜飲餐酒館,4.7,新莊區中正路603號,{'open_now': False}
輔仁大學輔園餐廳,4.2,新莊區中正路510號,{'open_now': True}
輔仁大學仁園餐廳,4.4,新莊區242,{'open_now': True}
吃漢食堂、丼飯、生魚片、燒肉、生啤、新莊店,4.8,新莊區後港一路130巷3號1樓,{'open_now': False}
少年董平價鐵板燒,4.8,新莊區民安路302號,{'open_now': True}
輔大 磯壽司（青壽司）,4.6,新莊區中正路498號,{'open_now': False}
Kitchen creAfe'客意直火 （蘆洲長興店）,4.6,蘆洲區長興路35號,{'open_now': True}
R2義麵小棧蘆洲店,4.6,蘆洲區中正路166號1樓,{'open_now': True}
螢河義麵坊,4.7,蘆洲區光華路73巷3號1F,{'open_now': True}
拍拍手披薩咖啡,4.9,蘆洲區長安街108巷26號1樓,{'open_now': True}
享樂義廚,4.1,蘆洲區中原路5巷6號,{'open_now': True}
幽默廚房 Humor Kitchen,4.8,蘆洲區光榮路28號,{'open_now': False}
OMG創義廚房,4.6,蘆洲區中原路17號,{'open_now': True}
義芳辦桌,4.4,蘆洲區中山二路36巷28號,{'open_now': False}
FuNny MaMa•放了媽媽 義式料理餐廳|兒童空間|捷運美食|必吃義式料理|聚餐|蘆洲美食,4.6,蘆洲區長樂路166號,{'open_now': True}
古厝家常菜(開放內用，歡迎外帶預約),4.2,蘆洲區中正路185巷No. 45號,{'open_now': True}
阿慶海鮮餐廳,4.1,蘆洲區長興路276號,{'open_now': True}
蘭陽鍋物 蘆洲店-高CP值 人氣餐廳 火鍋店 美食餐廳 朋友聚餐 日式火鍋 推薦 必吃 三蘆 新北,4.8,蘆洲區民族路361號,{'open_now': True}
Grasso胖肚子小餐館,4.3,蘆洲區長樂路70號,{'open_now': False}
好饗食 平價美式餐廳,4.8,蘆洲區永平街32巷53號,{'open_now': False}
貓捉魚平價海鮮,4.4,蘆洲區光華路29號,{'open_now': True}
夏天小館泰式料理,4.4,蘆洲區民族路376號,{'open_now': True}
吃貨萬歲意大利麵店 寵物友善餐廳,4.2,蘆洲區信義路222巷4號1樓,{'open_now': True}
御品鐵板燒,4.4,蘆洲區鷺江街102號,{'open_now': True}
和昌船釣海鮮,4.3,五股區工商路52號,{'open_now': True}
合益殿精緻鍋物-五股熱門鍋物|必吃火鍋|平價鍋物|海鮮火鍋|必吃餐廳|火鍋推薦,4.2,五股區成泰路二段222號之 3,{'open_now': True}
三本味 職人.手做.料理,5,五股區工商路3號,{'open_now': True}
豐盛窯 手工窯烤披薩 麵包,4.3,五股區五福路11-6號,{'open_now': True}
素食,4.4,五股區民義路一段166號,{'open_now': False}
九九麵食館,4.3,五股區中興路四段57號,{'open_now': False}
越南小吃,4.5,五股區成泰路二段81號,無營業時間資訊
津川立吞壽司（五股公有市場16號攤位）,4.9,五股區工商路3號16號攤,{'open_now': True}
WooFood 早午餐店,4.4,五股區五福路55號,{'open_now': False}
阿貝儒泰式小館（僅供外帶）,4.5,八里區中山路二段243號,{'open_now': True}
福爾摩莎義大利麵（內有店貓）,4.4,八里區中山路二段438號,{'open_now': True}
禾家歡日式料理,4.5,八里區商港路2號2樓,{'open_now': False}
食尚鐵板燒,5,八里區中山路二段269 之1號,{'open_now': True}
尚青熱炒,4.2,八里區中山路二段257號,{'open_now': True}
388 樂滋早午餐,4.5,八里區中華路二段388號,{'open_now': False}
NU PASTA 新北八里店,4.2,八里區訊塘路90號,{'open_now': True}
幸福海鮮熱炒,4.2,八里區中華路二段165巷1號,{'open_now': True}
如是我聞韓式海苔飯捲-八里店,4.6,八里區中山路二段329號,{'open_now': False}
佰間加熱滷味,4.1,八里區中山路二段333號,{'open_now': True}
烏醋麵,4.3,八里區訊塘路56號,無營業時間資訊
八里香涼麵,4.2,八里區中山路二段219號,{'open_now': False}
湘川烤魚,4.6,淡水區新市二路四段265號,{'open_now': True}
義利不窯 碳烤牛排 窯烤披薩 義式料理,4.4,淡水區淡金路二段608之2號,{'open_now': True}
大珍市婚宴會館,4.2,淡水區行忠路61號,{'open_now': True}
阿米哥複合餐坊,4.4,淡水區淡金路三段69號,{'open_now': True}
北海岸餐廳,4.1,淡水區淡金路三段218號,{'open_now': True}
盤中飧（只有外帶）,4.3,淡水區淡金路三段34號1樓,{'open_now': False}
牧匠牛原味牛排-淡水店,4.4,淡水區中山北路三段77號,{'open_now': False}
楓 炭火燒肉,4.2,淡水區義山路二段301號2樓,{'open_now': True}
明薇越南小吃店,4.2,淡水區淡金路三段260號,{'open_now': True}
阿興師麵館,4.1,淡水區淡金路三段2之1號,{'open_now': True}
王家鋼管雞,4.4,淡水區埤島6鄰37號,{'open_now': False}
牛Bar 淡海店,4.1,淡水區義山路二段301號,{'open_now': True}
醇粹飲品館,4.1,淡水區濱海路一段306巷9弄57號,{'open_now': True}
大倉日本料理,4.6,淡水區義山路二段303號1樓,{'open_now': True}
壽喜燒一丁 淡海店,4.3,淡水區義山路二段303號2樓,{'open_now': True}
CaCa House （敬請最少一星期預約，我們營業時間都不一定的，麻煩先打電話確認營業時間）,4.8,三芝區芝柏路42號,{'open_now': False}
浙寧料理 嘉園餐廳,4.5,三芝區中正路一段70號,{'open_now': True}
幸福王國庭園餐廳,4.5,三芝區觀海街2號,{'open_now': False}
芸心藝文美食（陽銘---心）,4.7,三芝區利民街3號3樓,{'open_now': False}
九香飲食坊,4.3,三芝區育英街1號,{'open_now': False}
興隆海產餐廳,4.3,三芝區162號,{'open_now': True}
水車荷畔,4.3,三芝區八連溪1之3號,{'open_now': True}
家居園,4.4,三芝區陳厝坑64之2號,{'open_now': False}
窯烤披薩,4.2,三芝區芝柏路46號,{'open_now': True}
京焱鐵板燒,4.7,三芝區中興街二段76號,無營業時間資訊
泰味屋泰式料理,4.4,三芝區長安街51號,{'open_now': True}
三芝小雞籠社•丼飯•烏龍麵,4.7,三芝區中山路一段151號,{'open_now': True}
哈爾濱風味料理,4.2,三芝區中正路一段92號,{'open_now': True}
三芝快可立,4.4,三芝區淡金路二段2號,{'open_now': True}
越南小吃店,4.3,三芝區中正路一段35號,{'open_now': True}
PIZZA OLMO 窯烤pizza.麵包,4.1,三芝區芝柏路46號,{'open_now': True}
米其淋牛肉麵 三芝美食地標,4.5,三芝區中正路三段26號,{'open_now': True}
CORNER’ Bistro 小角落餐酒館,5,新店區中正路495之2號1樓,{'open_now': False}
叁外 Bistro (小酒館),4.9,新店區民族路37號,{'open_now': False}
Old Bridge 飛鏢吧,4.4,文山區景美街158號,{'open_now': False}
Sofa Bistro 沙發小餐館,4.1,新店區中興路三段257-1號,{'open_now': False}
H&W Restaurant and Bar,4.3,新店區北新路三段65巷5號,{'open_now': False}
M9 Bistro Moon Night英倫餐酒館,4.8,中和區建一路100號1樓,{'open_now': False}
Focus焦點撞球飛鏢運動吧,4.3,中和區連城路341號,{'open_now': True}
Fly Darts 飛達斯飛鏢運動複合式餐飲,4.3,中和區連城路549號,{'open_now': True}
Catmint Cafe & Bar 貓草餐酒館,4.7,永和區中正路385號1樓,{'open_now': False}
ANNY PUB,4.4,永和區得和路21號,{'open_now': False}
小惡魔酒吧,4.6,永和區中山路一段337號,{'open_now': False}
逃生入口Exit Bar,4.8,永和區永貞路75號,{'open_now': False}
渴樂舖Club/飛鏢,4.8,中和區景平路445號,{'open_now': False}
Vogue,4.3,永和區中山路一段104-1號,{'open_now': False}
叁號行倉,4.6,永和區保福路二段3號,{'open_now': False}
VOGUE 2紅酒燒肉/駐唱/餐酒館/Bistro/Bar/深夜食堂/葡萄酒/運動賽事,4.8,永和區中山路一段26號,{'open_now': False}
摩德動物美式餐館音樂酒吧,4.3,中和區安和路35號,{'open_now': False}
Bar千手 / Bar Senju,5,中和區安平路109號,{'open_now': False}
暫時飲所TEMPbar,4.9,永和區中正路640號,{'open_now': False}
95 Sports Moment Club,4.5,永和區竹林路222號3樓,{'open_now': False}
海神弄局餐酒bar-永和必去酒吧|專業調酒|必吃餐酒館|打卡餐酒館|網美餐酒館|人氣酒吧,5,永和區保平路188號,{'open_now': True}
Single&Double,4.9,文山區指南路一段29號,{'open_now': False}
星河,4.7,文山區木新路二段110號,無營業時間資訊
徙巷小餐酒 The Who Bistro,4.7,文山區木柵路三段49巷12號,{'open_now': True}
月晚 MOON9,4.8,三峽區國光街38巷8號,{'open_now': False}
花酒間 Cocktail Bar 雞尾酒吧,4.9,三峽區三樹路69號,{'open_now': False}
世嵵梅酒三峽店,4.8,三峽區長福街2號,{'open_now': False}
藤原.Tattoo.Bar,5,三峽區大同路147巷六號,無營業時間資訊
酒窩,4.9,鶯歌區中正一路121號地下一樓,{'open_now': False}
藝林國際企業有限公司/客製化/酒廠/酒瓶/陶瓷/馬克杯/股東會贈品/禮贈品/茶具/轉印杯工廠/茶道,4.8,鶯歌區建國路578號,{'open_now': True}
三千酒莊,4.5,土城區忠義路55巷13號,{'open_now': True}
老三餐飲-中央店,4.7,土城區中央路二段34號,{'open_now': False}
愛唱,4.2,樹林區大安路534號2樓,{'open_now': False}
篝火刺青•吧 Bonfire Tattoo•Bar,5,板橋區大觀路二段95號,{'open_now': False}
Aurora Star Bar ｜極光之星,4.9,三重區中正北路23號2樓,{'open_now': False}
LJ1991餐酒吧,4.6,三重區集美街188號,{'open_now': False}
V's 貓咪酒吧,5,三重區重安街35號,無營業時間資訊
舒壓會館飛鏢bar,4.5,三重區正義南路61號b1,{'open_now': False}
異緗coffee bar | 三重酒吧/駐唱酒吧/音樂餐酒館,5,三重區正義北路61號二樓,{'open_now': False}
Glad歌勒藝文,4.9,三重區中央北路89巷1號,{'open_now': False}
乾了吧串燒飛鏢酒吧,4.7,三重區三和路三段26號,{'open_now': False}
老地方236BAR,4.7,新莊區中正路504號二樓,{'open_now': False}
CLOCK Bistro。餐酒館,4.6,新莊區中正路492號,{'open_now': False}
失戀輔導室酒吧bar（輔大x炸物x調酒x暢飲）,4.9,新莊區建國一路26號2F,{'open_now': False}
Drunk House Bar（醉酒屋）,5,新莊區中正路612號,{'open_now': False}
FUN!鏢吧,4.8,新莊區中正路514巷9號2 樓,{'open_now': False}
THE FOUR,4.9,新莊區福營路163號,{'open_now': True}
VAULT 86 | 啤酒暢飲 | 百元調酒 | 新莊餐酒館 | 生蠔Bar | 酗酒互助會輔大分會,4.8,新莊區福營路115號,{'open_now': False}
嘴吧癢串燒餐酒館,4.1,新莊區後港一路111號,{'open_now': False}
哪裡吧,5,新莊區福營路4號,{'open_now': True}
首都商業KTV,4.8,泰山區明志路三段179號,無營業時間資訊
Answer 安森,4.8,新莊區中正路490號,{'open_now': False}
The I-tipsy 愛微醺餐酒館,4.5,新莊區中正路879號,{'open_now': False}
星光大道KTV,4.2,新莊區民安路188巷5號6樓,{'open_now': True}
小時光our times,4.5,蘆洲區中山一路55號,{'open_now': False}
BLUE PAPA,4.9,蘆洲區中山二路129號,{'open_now': False}
MOJO-9 墨鷲,4.7,蘆洲區中正路403號,{'open_now': False}
橘。Bar,4.9,蘆洲區民權路32號,{'open_now': False}
柔美卡啦0K,4.1,"No. 35號, No. 35號光復路30巷蘆洲區",{'open_now': True}
文龍bar,5,五股區民義路二段22巷,無營業時間資訊
星級歌城 五股民義店 卡拉 OK,5,五股區民義路一段181號B1,{'open_now': False}
奎柔山路189號,5,淡水區,無營業時間資訊
小碧潭公園,4.2,新店區,{'open_now': True}
景美河濱公園,4.3,文山區,{'open_now': True}
秀朗清溪河濱公園,4.1,新店區,{'open_now': True}
陽光運動公園,4.5,新店區安業街,{'open_now': True}
錦和運動公園(防災公園),4.4,中和區錦和路350-1號,{'open_now': True}
嘉穗公園,4.3,中和區民利街9巷2號,{'open_now': True}
自強公園,4.1,中和區國光街37-59號,{}
圓通寺步道,4.3,中和區,{'open_now': True}
永和仁愛公園,4.3,永和區仁愛路244-1號,{'open_now': True}
八二三紀念公園(中和公園；四號公園),4.3,中和區中安街6號,{'open_now': True}
道南河濱公園,4.3,文山區木新路二段299巷恆光橋下,{'open_now': True}
新店之眼,4.6,新店區寶高路120巷7弄14號,無營業時間資訊
萃湖,4.4,文山區興隆路四段50號,{'open_now': True}
深坑老街,4.1,深坑區深坑街110號,{'open_now': True}
淡蘭吊橋,4.1,石碇區106乙縣道雙溪口68-8號,{'open_now': True}
石碇堡隧道,4.3,石碇區106乙縣道口,{'open_now': True}
淡蘭古道,4.3,石碇區石碇西街,{'open_now': True}
